"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\models\comment.model.js", "JavaScript", 13, 0, 4, 17
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\models\measurements.model.js", "JavaScript", 12, 0, 4, 16
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\models\schedule.model.js", "JavaScript", 10, 0, 5, 15
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\models\sportsman.model.js", "JavaScript", 11, 0, 3, 14
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\models\user.model.js", "JavaScript", 26, 0, 3, 29
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\models\workout.model.js", "JavaScript", 18, 0, 4, 22
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\routes\admin.js", "JavaScript", -89, -25, -18, -132
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\routes\comments.js", "JavaScript", -138, -15, -23, -176
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\routes\measurements.js", "JavaScript", -75, 0, -7, -82
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\routes\schedule.js", "JavaScript", -90, 0, -7, -97
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\routes\users.js", "JavaScript", -75, 0, -8, -83
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\routes\workouts.js", "JavaScript", -112, -19, -9, -140
"Total", "-", -489, -59, -49, -597
