"filename", "language", "JSON", "JavaScript", "Properties", "comment", "blank", "total"
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\.env", "Properties", 0, 0, 1, 0, 0, 1
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\models\comment.model.js", "JavaScript", 0, 13, 0, 0, 4, 17
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\models\measurements.model.js", "JavaScript", 0, 12, 0, 0, 4, 16
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\models\schedule.model.js", "JavaScript", 0, 10, 0, 0, 5, 15
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\models\sportsman.model.js", "JavaScript", 0, 11, 0, 0, 3, 14
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\models\user.model.js", "JavaScript", 0, 26, 0, 0, 3, 29
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\models\workout.model.js", "JavaScript", 0, 18, 0, 0, 4, 22
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\package-lock.json", "JSON", 2583, 0, 0, 0, 1, 2584
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\package.json", "JSON", 22, 0, 0, 0, 1, 23
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\routes\admin.js", "JavaScript", 0, 89, 0, 25, 18, 132
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\routes\comments.js", "JavaScript", 0, 138, 0, 15, 23, 176
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\routes\measurements.js", "JavaScript", 0, 75, 0, 0, 7, 82
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\routes\schedule.js", "JavaScript", 0, 90, 0, 0, 7, 97
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\routes\users.js", "JavaScript", 0, 75, 0, 0, 8, 83
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\routes\workouts.js", "JavaScript", 0, 112, 0, 19, 9, 140
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\server.js", "JavaScript", 0, 59, 0, 0, 4, 63
"Total", "-", 2605, 728, 1, 59, 101, 3494
